source_page,year,pdf_url,local_path,bytes,sha256
Special_Archive,2017,https://commercialpointohio.gov/CPMiscForms/2017-VOCP-Water-Quality-Report.pdf,Special_Archive/2017/2017-VOCP-Water-Quality-Report.pdf,1012105,b9deee064b700b071d77fe5fc49956576e07d1729f6b0ce81bca4710a8749d35
Special_Archive,2018,https://commercialpointohio.gov/CPMiscForms/2018-VOCP-Water-Quality-Report.pdf,Special_Archive/2018/2018-VOCP-Water-Quality-Report.pdf,1041684,7e96d4c3817cbfd22a57b8a30f7dd7cacc1e4df3c9e86fa62107501fcbc06542
Special_Archive,2019,https://www.commercialpointohio.gov/CPMiscForms/2019.pdf,Special_Archive/2019/2019.pdf,1038208,3171deb47367eb83cf4669a863bbf52ef9df2a55ecf1b3544b42242997538a7c
Special_Archive,2020,https://www.commercialpointohio.gov/CPMiscForms/CCR2020.pdf,Special_Archive/2020/CCR2020.pdf,1642389,ab6d9d02595f3f7619aad56bd6cfab898be4f996e5e79af35e63497b208ca31f
Special_Archive,2021,https://www.commercialpointohio.gov/CPMiscForms/CCR%202021.pdf,Special_Archive/2021/CCR_202021.pdf,351246,941129273e35ee4769540a50238ed23f5f38f434b1a7156f8e52c3e8f7ed4b00
Special_Archive,2022,https://www.commercialpointohio.gov/CPMiscForms/2022-CCR.pdf,Special_Archive/2022/2022-CCR.pdf,229924,b1c771ef73f52b675fdd814bc6825f1d030f14ae6a87b2c68664dc905865073d
Special_Archive,2023,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/2023-Water-Quality-Report.pdf,Special_Archive/2023/2023-Water-Quality-Report.pdf,1857528,378e9993f9746a3b870edacadad782c2f01da4f2ed839789ca4e56b7b90ac353
Special_Archive,2024,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/CCR-2024.pdf,Special_Archive/2024/CCR-2024.pdf,249642,99cf9f5c6df278c9505df8b8f3a330dcfa8c26ea1f64d26b85e114271e2f2367
Special_Archive,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/Special%20Meeting-1-22-2024.pdf,Special_Archive/2024/Special_20Meeting-1-22-2024.pdf,390588,74f677bac9c50f045b193213c26cd3944ad487631d0ae4b42498c7c733f62067
Special_Archive,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/2-26-24-Special-Council.pdf,Special_Archive/2024/2-26-24-Special-Council.pdf,483138,a19626103005da75d104608499ff6e5491da3e89beb5deb5dd87c21097958f2e
Special_Archive,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/3-18-24-Special.pdf,Special_Archive/2024/3-18-24-Special.pdf,619927,b6e7bb2334a029f3bc31ddc05459dae7b30b200f4ebf4fc6bfb95bac67b80fa2
Special_Archive,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/4-15-24-Special-Meeting-Min.pdf,Special_Archive/2024/4-15-24-Special-Meeting-Min.pdf,810698,23cf3ac4326f47922355ee81c74ad57739fbd1f8a8d053f648dd85cfa93f39e8
Special_Archive,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/5-20-Special-Council.pdf,Special_Archive/2024/5-20-Special-Council.pdf,445416,da7dc179edd66f38dae9fcd98f1b7ceb7795c317e48f02a2632967a7660a9ab0
